text,meta_category,meta_answer
"""And when he opened the seventh seal, there was silence in heaven about the space of half an hour""",BOOKS OF THE BIBLE,Revelation
The final draft of the U.S. Constitution was composed in this city in September 1787,AMERICAN CITIES,Philadelphia
"In London, Shakespeare boarded with the Mountjoys, a family of these French Protestants",GOOD WILL SHAKESPEARE,Huguenots
"She's the Pennsylvania-born expatriate whose work is seen <a href=""http://www.j-archive.com/media/2005-12-05_J_16.jpg"" target=""_blank"">here</a>",ART FOR ART'S SAKE,(Mary) Cassatt
"The name of this cold, treeless region where reindeer thrive comes from a Russian word for ""flat-topped hill""",HAVE YOU HEARD THE WORD?,tundra
This Babylonian temple tower,"""Z"" IS FOR...",a ziggurat
An Internet site that offers e-mail & a search engine is called one of these entryways to the web,THE WAY IN,a portal
A Minnesota Twin could tell you this word is a synonym for twin bill,TWINS,Doubleheader
"Vote did he get, this 900-year-old ""Star Wars"" character",THE 2005 GREENSBORO MAYORAL RACE,Yoda
The study of how individual differences are inherited or environmentally caused is known as behavior these,PSYCH!,genetics
"As the 1932 Democratic candidate for president, he promised to end prohibition",PROHIBITION,Franklin D. Roosevelt
First names of detective Fenton Hardy's adventurous sons,ADVENTURE HEROES,Frank & Joe
"In 1936 Republicans said, ""Let's get another deck"" in response to this program",POLITICAL TERMS & SLOGANS,The New Deal
"Alimony is what you pay to an ex; this is a brittle silvery-white metallic element, atomic no. 51",NOT TO BE CONFUSED,antimony
"It's the large, swift bird seen <a href=""http://www.j-archive.com/media/2005-10-12_J_16.jpg"" target=""_blank"">here</a>",SHAKE YOUR TAIL FEATHER,an ostrich
"From the Latin for ""to write across"", it's making a written copy of dictated material",THAT'S WRITE!,transcribe
There's good hiking at several stops on this country's mountainous Chihuahua al Pacifico train,TAKE A HIKE,Mexico
The Tiger Swallowtail & Zebra Swallowtail are species of this insect,ANIMALS,Butterfly
Henry II kept this woman of Aquitaine locked up for years after she & his sons rebelled against him,MORE DYSFUNCTIONAL ROYAL FAMILIES,Eleanor
"An NYU student said of this Clinton foe, ""He's obviously a better teacher than he is a special prosecutor""",AS QUOTED IN NEWSWEEK,Ken Starr
"All ""Hale"" this 58-year-old who won his fourth Senior PGA championship by a str--a shot",SPORTS 2004,Hale Irwin
This system of linking Internet documents contains cross-references so you can jump easily between them,"""TEXT"" ME",hypertext
"Perhaps the world's only spokesfish, he swims in Starkist ads",ANIMALS IN SHOWBIZ,Charlie the Tuna
The Office of English Language Acquisition belongs to this cabinet department,GOVERNMENT & POLITICS,Department of Education
In 1533 Henry VIII's marriage to Catherine of Aragon ended & this Catherine wed the future Henry II of France,THE 16TH CENTURY,Catherine de' Medici
"This missionary nurseryman did most of his work in Ohio & Indiana, where he died in 1845",AMERICANA,Johnny Appleseed
Jane Fonda helps Michael Douglas uncover hazards at a nuclear power plant in this 1979 blockbuster,"HELP ME, FONDA",The China Syndrome
On this sitcom you may find the Crane brothers having coffee at Cafe Nervosa,TV BARS & RESTAURANTS,"""Frasier"""
"Seen <a href=""http://www.j-archive.com/media/2004-11-01_J_13.jpg"" target=""_blank"">here</a> at a Senate hearing, he was the first U.S. Attorney General to be convicted of a felony",AMERICAN HISTORY,John Mitchell
"...Aesop, who gave us the moral ""the gods help them that"" do this",A IS FOR...,help themselves
"Africa's newest independent state, it was an Italian colony until WWII, & later incorporated into another country",MODERN AFRICAN HISTORY,Eritrea (formerly part of Ethiopia)
The energy we call sunshine is initially generated by the Sun's fusion of hydrogen into this,SUNSHINE,helium
"<a href=""http://www.j-archive.com/media/2001-09-13_J_25.jpg"" target=""_blank"">This band leader</a>'s plane disappeared on a trip to Paris in December 1944",WORLD WAR II IN PICTURES,Glenn Miller
"Winston Smith works for this ironically named government unit in the novel ""1984""","""TRUTH"" OR CONSEQUENCES",the Ministry of Truth
"He used some of his enormous wealth to build a New York City concert hall & over 2,500 public libraries",HUMANITARIANS,Andrew Carnegie
"This state was the setting for Edna Ferber's novel ""Ice Palace""",BOOKS & AUTHORS,Alaska
Apollo astronauts collected 841 pounds of these (most are stored at Johnson space center),A PIECE OF HISTORY,Moon rocks
"In a 1922 Anne Nichols play, he marries an Irish girl named Rose Mary Murphy, starting a family feud",DRAMA,Abie
This colony's western boundary with Maryland was surveyed by Mason & Dixon in 1764,THE 13 COLONIES,Delaware
The Navy shipyard at Bremerton in Washington state is on this inlet of the Pacific,BODIES OF WATER,Puget Sound
"Luxembourg is one-third of this economic union that was set up November 1, 1960",A LITTLE BITTY COUNTRY,BENELUX
"Boss Hogg has the General Lee impounded on dozens & dozens of felony evading arrest charges, then car-crushes it",IF THE TV SERIES HAD A DOWNER ENDING,The Dukes of Hazzard
Chris directed the first & second installments of this Macaulay Culkin franchise,CHRIS COLUMBUS,Home Alone
"It's a lightweight, protective helmet used by construction workers","TOO ""HARD""",a hard hat
Thomas Hancock patented vulcanized rubber in England the year before this man in the U.S.,INVENTORS,Charles Goodyear
This island at the southern tip of South Carolina is a major Marine Corps training base,BASES LOADED,Parris Island
In 1791 the HMS Pandora sailed into Tahiti to seize several of this ship's crew,ENGLISH SHIPS,the Bounty
"It's the 2-word slang term for what is formally known as ""time zone change syndrome""",ON A JET PLANE,jet lag
"I bought this Beatle's ""Dark Horse"" & Ravi Shankar's ""In Celebration"", which he co-produced",10 CDs FOR A PENNY,George Harrison
"This common name of the small speedy bird seen <a href=""http://www.j-archive.com/media/2008-01-01_J_30.jpg"" target=""_blank"">here</a> even means ""speedy""",TEMPO TANTRUM,swift
It's the NFL team that plays its home games at Lambeau Field,COLORFUL WORDS & PHRASES,Green Bay Packers
This thickener of fruit jellies is obtained from apples,APPLE,pectin
"He, not the Attorney General, represents the government in cases before the Supreme Court",GOVERNMENT,the Solicitor General of the U.S.
The name of this art style is derived from a Paris shop opened in the 1890s by dealer Siegfried Bing,ART & ARTISTS,Art Nouveau
In 1949 a Nationalist government in exile was established in this Asian island nation,ASIAN NATIONS,Taiwan
"His writing career began with the short novel ""Detstvo"" in 1852; the much longer pieces came later","RUSSIAN ""T"" ROOM",Leo Tolstoy
On their heads bees have 5 of these -- 2 compound & 3 simple,THE BEE,Eyes
Eoin Ryan of this country is also a member of the Fianna Fail political party,EUROPEAN PARLIAMENT MEMBERS,Ireland
"This director of ""Lone Star"", ""Passion Fish"" & ""Return of the Secaucus Seven"" has long been based in Hoboken",NEW JERSEYITES,John Sayles
This Tasmanian capital was once a major center for Antarctic whalers,"WHAT THE ""H""?",Hobart
"He told the 20th Communist Party Congress Feb. 14, 1956 that war with capitalist imperialism was not inevitable",VALENTINE'S DAY,Nikita Khrushchev
"(<a href=""http://www.j-archive.com/media/2007-11-29_DJ_12.jpg"" target=""_blank"">Hi, I'm Sean Hayes.</a>)  I got one of my first big breaks when I was cast in the film ""A & P"", based on a story by this ""Rabbit, Run"" author",FROM PAGE TO SCREEN,John Updike
The pilgrimage to Mecca for Muslims,ENDS WITH THE SAME 2 LETTERS,hajj
A U.S. stamp from 1965 commemorated the 700th anniversary of the birth of this Italian poet,POSTAGE STAMPS,Dante Aligheri
The original theme song to this TV sitcom set in Cleveland mentioned the nearby towns of Parma & Solon,CLEVELAND ROCKS!,The Drew Carey Show
"As you'd expect, it's the term for bifocals modified with an additional lens for intermediate distance",FOR YOUR EYES ONLY,Trifocals
It's home to the NFL's Panthers,U.S. CITIES,Charlotte
"This opera is subtitled ""The Lass that Loved a Sailor""",GILBERT & SULLIVAN,The H.M.S. Pinafore
This Japanese crime organization attacked Juzo Itami after he made a 1992 film satirizing them,FILM DIRECTORS,the Yakuza
"Crassus, Julius Caesar & this man formed the 1st Triumvirate",ANCIENT HISTORY,Pompey
"Before their royal wedding, Edward & Sophie were given the titles Earl & Countess of this",LEFTOVERS,Wessex
"The second half of Senator Howard Baker's 1973 question that began, ""What did the president know?""",QUESTIONS,"""And when did he know it?"""
"In 1990 he directed himself in the title role of ""Dick Tracy""",ACTOR-DIRECTORS,Warren Beatty
"This Steinbeck novel title comes from Genesis; Cain went there, to the land of Nod, after the murder",BORROWED BOOK TITLES,East of Eden
A part of the psyche,2-LETTER SCRABBLE WORDS,id
"Put them in the order Richard Branson founded them: airline, record store, record label",MR. BUSINESSMAN,"record store, record label, airline"
"This Apache tried to keep peace with the palefaces, but after his death, his son joined with the militant Geronimo",HISTORIC NAMES,Cochise
In the 1840s Esther Howland made these cards from imported paper lace & floral decorations,ANNUAL EVENTS,Valentines
"On May 20, 1498 this Portuguese navigator reached Calicut on the Malibar coast of India",500 YEARS AGO,Vasco da Gama
A protest at a church in Timisoara began the rebellion that ended Ceausescu's rule in this country,EUROPEAN HISTORY,Romania
"She wrote, ""I knew then that 'W-A-T-E-R' meant the ... cool something that was flowing over my hand""",AMERICAN HERSTORY,Helen Keller
"I want this ""lunar"" footwear, basically a pair of trampolines, to make me feel like I'm defying gravity","MOM, I WANT I WANT I WANT!!",moon shoes
"Charlie Daniels reported a fiddle of gold was bet against a soul when ""The Devil Went Down To"" this state",FOR SAX AND VIOLINS,Georgia
Lake Texoma on the Texas-Oklahoma border was formed by damming this river,U.S. RIVERS,Red River of the South
"(<a href=""http://www.j-archive.com/media/2009-06-04_DJ_26.jpg"" target=""_blank"">Alex reads from the Royal Ontario Museum in Canada.</a>)  <a href=""http://www.j-archive.com/media/2009-06-04_DJ_26a.jpg"" target=""_blank"">This</a> bust, once identified as just an early Ptolemaic queen, has now been shown to be this woman--famous through the ages",THE ROYAL ONTARIO MUSEUM,Cleopatra
"These towns, like the one seen here, were named for a 1950s builder",AMERICA SINCE 1900,Levittowns
Jameson Irish Whiskey gains its golden hue thanks partly to this acid that also helps give leather its color,THE SCIENCE OF LIQUOR,tannic acid
The cross seen here is used as a symbol in the battle against this disease abbreviated TB:,SIGNS & SYMBOLS,Tuberculosis
"As part of Catholic Baptism, this word doesn't mean to go to the gym but to get rid of demons",RELIGION,exorcise
"This ballerina known for her ""Dying Swan"" role starred in the 1915 silent film ""The Dumb Girl of Portici""",BARRE TENDERS,Pavlova
Britain's 200-year-old Rumford Medal is given for discoveries about heat or this form of energy,AWARDS,light
"(Jimmy of the Clue Crew)  I'm in this city, at the very first of thousands of Starbucks stores",WHERE AM I?,Seattle
"This 1955 novel's foreword says, ""I have no intention to glorify 'H.H.'....he is a shining example of moral leprosy""",FOREWORDS,Lolita
"This cereal is ""A honey of an O""",CLASSIC ADS & JINGLES,Honey-Nut Cheerios
"Types of this aquatic creature include chimney, sheep's wool, and common bath",ANIMALS,the sponge
"On their Krofft-produced variety show, Marie Osmond was ""a little bit country"" & Donny was ""a little bit"" this",SID & MARTY KROFFT TV,rock and roll
The team that wears the logo seen here plays home games in this former Olympic venue (Calgary Flames),NHL TEAMS,Saddledome
This Swiss city is headquarters to the World Council of Churches,WORLD CITIES,Geneva
Oregon is in deep with this body of water on its state quarter,U.S. LAKES & RIVERS,Crater Lake
"It's a lot easier to finish this author's ""Death in Venice"" than his ""Dr. Faustus""",BOOKS FOR THE BRAVE,Thomas Mann
"Paine took on religion in his book ""The Age Of"" this",THOMAS PAINE,Reason
"These ""notes"" are used illicitly to help you on tests",WORDS CONTAINING BODY PARTS,crib notes
In 1930 this Indian pacifist marched 200 miles to the sea to protest Britain's salt tax,SALT,Gandhi
Sharp type of turn that sounds like an accessory to keep your toupee from flying off,ONE GOOD TURN,a hairpin
"Kim Deal, Faith Hill & Vanilla Ice have been spotted at this attraction on the shores of Lake Erie",CLEVELAND ROCKS!,the Rock & Roll Hall of Fame
This fabled stadium where the Pittsburgh Pirates & Steelers used to play was demolished in 2001,THE SPORTS ZONE,Three Rivers
"Doing laundry in the sink, this ""Jersey Shore"" girl aka Nicole Polizzi said, ""I feel like a pilgrim from the friggin' '20s""",JERSEY GIRLS,Snooki
"The trail named for these people led from Cuzco to Intipunku, ""the gateway of the sun"", & on to Machu Picchu",THE WORLD,the Incans
"The Lord told him to ""Lift thou up thy rod, and stretch out thine hand over the sea, and divide it""",BIBLICAL QUOTES,Moses
"It's the title of the movie seen <a href=""http://www.j-archive.com/media/1998-04-29_DJ_20.wmv"">here</a>",SEVEN,The Seven Year Itch
Haifa was a target of scud missiles from this country during the Persian Gulf War of 1991,HAIFA LOAF,Iraq
"This cable channel launched on Feb. 2, 2000--appropriately, that's 02/02",CABLE CHANNELS,the Oxygen Channel
In Hebrew it can mean hello. goodbye or well-being,WORLD OF WORDS,Shalom
These Greek female divinities punished crimes at the instigation of the victims,ANGRY WORDS,the furies
"These animals, a symbol of the city of Bern, are kept in a pit near the river",EUROPEAN CAPITALS,bears
Hungarians have many dishes named for & made with this spice,HERBS & SPICES,paprika
"In various songs, she was a hit for Jimmy Clanton, Shocking Blue, Bananarama, and Frankie Avalon",GIRLS IN SONG,Venus
"The sentence ""Harold and Kumar go to White Castle"" has a plural compound one of these",GRAMMAR,a subject
"A hoisting machine, or a somewhat similar-looking wading bird",LARGE EQUIPMENT,a crane
One of Louis Malle's first jobs in filmmaking was an assistant to this marine explorer,L'HOMME,Jacques Cousteau
"It's the perfect British ""street"" to report on naval maneuvers",HURRY UP!,Fleet Street
"HUD secretary under Nixon, he earlier served as American Motors president & sired a candidate for U.S. president",HUD SECRETARIES,George Romney
"In an Aesop fable, Fox makes this bird drop its food by asking it to speak",A FOXY CATEGORY,Crow
"16th century author Pietro Aretino is <a href=""http://www.j-archive.com/media/2005-04-25_J_15.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2005-04-25_J_15a.jpg"" target=""_blank"">here</a> in a portrait by this Venetian pal of his",THE ARTIST,Titian
"It's the geographically appropriate name of the Pittsburgh landmark seen <a href=""http://www.j-archive.com/media/2004-11-15_J_02.jpg"" target=""_blank"">here</a> on Feb. 11, 2001",PITTSTORY,Three Rivers Stadium
"In August 2010 General Zahir Azimi announced that its army had reached target strength of 134,000 2 months ahead of schedule",ARMY STRONG,Afghanistan
This company operates the 4 most popular theme parks in North America,BUSINESS & INDUSTRY,Disney
"A 19th century rhyme says, ""He who does not love wine, women & "" this ""remains a fool his whole life long""",POETRY,Song
"One of the commandments says ""Thou shalt not bear"" this ""against thy neighbor""",RULES FROM EXODUS,"""false witness"""
This aromatic herb used in cooking bears clusters of small green & white flowers,"""GON"" TOMORROW",tarragon
We're not joshing--in 1769 this portrait painter got knighted,ART,(Joshua) Reynolds
"It can precede man, arrow & shooter","ENDS IN ""GHT""",straight
She became queen of England in 1702 after a riding accident led to the death of William III,ROYALTY,Queen Anne
It's said this North Korean capital is the Korean Peninsula's oldest city,WORLD CITIES,Pyongyang
"Associated with New Zealand, these South Sea islands named for an explorer are self-governing",PACIFIC ISLANDS,the Cook Islands
"The European playground seen here, or a Las Vegas hotel","VEGAS, BABY",Monte Carlo
"In a saying attributed to the Duke of Wellington, this battle ""was won on the playing fields of Eton""",QUOTATIONS,Waterloo
This word for a perfect world comes from a 1516 book,"IT'S ALL ABOUT ""U""",utopia
"This ""Great"" king, dad of Xerxes I, standardized weights & measures & built highways",ANCIENT PERSIA,Darius the Great
"Pensar means to do this; people who do it well enough may go into a ""tank""",SPANISH VERBS,to think
"Called P.G.T.,  this Confederate Creole general led the attack of Fort Sumter to start the Civil War",CREOLE CURIOSITY SHOP,General Beauregard
"A provincial capital was named for George Monteau Dunk, 2nd Earl of this",CANADIAN HISTORY,Halifax
Indonesia shares New Guinea with Papua New Guinea & this island with Malaysia,ON YOUR INDONESIA,Borneo
"Liza Minnelli beat out this funnyman's show ""You're Welcome America: A Final Night with George W. Bush""",THE 2009 TONY AWARDS,Will Ferrell
"A 2005 rain delay at the Nissan Open had this golfer known as ""Long John"" saying, ""My marriages don't last this long""",THE WIDE WORLD OF SPORTS,"""Long John"" Daly"
"Dostoevsky wrote ""The Brothers Karamazov"" & this Russian wrote ""Fathers and Sons""",19th CENTURY NOVELS,Ivan Turgenev
"This will be partly blotted out on May 10, 2013; if I'm with a primitive tribe that day, I can trick them into making me a god",I CAN PREDICT THE FUTURE,the sun
"This group uses ""Blood Sugar Sex Magik"" & cowbell when <a href=""http://www.j-archive.com/media/2005-11-18_DJ_26.mp3"">""Breaking The Girl""</a>  <i>""Twisting and turning you're feeling the burning you're breaking the girl...""</i>",I NEED MORE COWBELL,the Red Hot Chili Peppers
"In Internet addresses, zw stands for this country",ABBR.,Zimbabwe
"In September 2002 this Texan won Fox' ""American Idol""",21st CENTURY MUSIC,Kelly Clarkson
There with a type of pack on his aching shoulder sat the best pitcher on our staff,AN I FOR AN A,ice & ace
"The first point after this is advantage, Mr. Bigalow",TENNIS TALK,deuce
"On this holiday, the U.S. flag flies at half-staff from sunrise to noon & at full staff from noon to sunset",THE MIDDAY SUN,Memorial Day
A 1979 hit by Supertramp gave you these directions for finding your way to your abode,"""LONG"" SONGS","""Take The Long Way Home"""
"""Title"" for Conrad's Jim (4)","LITERARY CROSSWORD CLUES ""L""",Lord
"Specific type of nail-knocker seen <a href=""http://www.j-archive.com/media/2007-04-30_J_03.jpg"" target=""_blank"">here</a>","OR ""LAW"" SCHOOL?",a claw hammer
"From the Latin for ""throat"", it's the morning activity heard here",SOUNDGARDEN,gargling
"Leviticus 11:10 says ""all that have not fins and"" these ""in the seas"" shall be an abomination",BIBLICAL ABOMINATIONS,scales
"Gaze upon a <a href=""http://www.j-archive.com/media/2008-10-07_J_27.jpg"" target=""_blank"">representation</a> of the tragic end of this character",A MOTHER GOOSE PICTORIAL,Humpty Dumpty
"""It's getting late, have you seen my mates, Ma tell me when the boys get here""",ELTON JOHN SONGS,"""Saturday Night's Alright for Fighting"""
"The inhabitants of the Empire didn't call themselves ""Byzantines"" but these imperial people",A BYZANTINE CATEGORY,Romans
"Near the end of ""Through the Looking Glass"", this queen disappears in a bowl of soup",CHILDREN'S LITERATURE,White Queen
"Although he gained fame as ""Mr. October"", he holds the career record for the most strikeouts by a batter--2,597",HITMEN,Reggie Jackson
On August 31 the people of Kyrgyzstan celebrate its break from this country,INDEPENDENCE DAYS,Soviet Union/Russia
"Funny in 1600 Dept.: When the king, acting fatherly, says, ""Clouds still hang on you"", Hamlet says, ""I am too much in"" this",PUNS,the son
Hope & ____,CLASSIC COMEDY TEAMS,(Bing) Crosby
"""Fiddler on the Roof"" may be the most famous American musical set in this country",BROADWAY MUSICAL SETTINGS,Russia
"Goat stew is savored on this ""C"" of the ABC Islands, which lent its name to an orange-peel liqueur",CARIBBEAN CUISINE,Curacao
He was the first U.S. president not of British descent,U.S. PRESIDENTS,Martin Van Buren
